Dead (X),Individual ID (EGGPOD#.HATCHING#_TEMP_LIGHT_SPECIES_SITE),CCode,Site,Species,sex,Temp (HV/LV),Light (L/S),Notes,Date 2nd,2nd Mass (g),Notes 2nd,Date 3rd,3rd Mass (g),Notes 3rd,Date 4th,4th Mass (g),Notes 4th,Date 5th,5th Mass (g),Notes 5th,Date 5th+,5th+ Mass (g),Notes 5th +,Date Adult,Adult Mass (g),Adult Femur Length (mm),Adult Pronotum Length (mm),Notes A,Death date,Death Note,
,FD1.10_LV_S_C1,GrY,C1,dodg,M,LV,S,,,,,4/20/16,0.0401,,4/26/16,0.0772,,5/3/16,0.1708,,,,,5/12/16,0.2288,10.98,4.02,,,,
,FD1.11_LV_S_C1,GrB,C1,dodg,M,LV,S,,,,,4/20/16,0.0375,,4/26/16,0.0654,,5/3/16,0.1692,,,,,5/13/16,0.2359,10.37,3.91,,,,
,FD1.12_LV_S_C1,GrO,C1,dodg,M,LV,S,,,,,4/20/16,0.0338,,4/26/16,0.0587,,5/3/16,0.1481,,,,,5/13/16,0.2091,10.29,4.28,,,,
,FD1.13_LV_S_C1,GrG,C1,dodg,F,LV,S,,4/20/16,0.0333,,4/21/16,0.0463,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd --- Found molt on 4/22 with 0.522 weight,4/27/16,0.0657,,5/6/16,0.2322,,,,,5/16/16,0.3026,11.77,4.86,,5/25/16,dead during first 2 hours of feeding experiment,
,FD1.14_LV_S_C1,GrP,C1,dodg,F,LV,S,,,,,4/20/16,0.0304,,4/27/16,0.0652,,5/5/16,0.2078,,,,,5/16/16,0.279,11.42,4.76,,,,
X,FD1.15_LV_S_C1,,C1,dodg,,LV,S,,,,,4/20/16,0.0396,,4/26/16,0.0889,,5/3/16,0.1433,,,,,,,,,,5/9/16,,
,FD1.16_LV_S_C1,RY,C1,dodg,M,LV,S,,,,,4/20/16,0.028,,4/26/16,0.054,,5/3/16,0.1047,,,,,5/14/16,0.2092,10.39,3.93,,,,
,FD1.17_LV_S_C1,RB,C1,dodg,F,LV,S,,4/20/16,0.0297,,4/21/16,0.0451,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/28/16,0.1049,,5/5/16,0.2067,,,,,5/16/16,0.395,11.41,4.68,,,,
X,F73.1_HV_L_B1,,B1,dodg,,HV,L,0 dead,,,,4/20/16,0.0445,,,,,,,,,,,,,,,,4/25/16,,
X,F73.2_HV_L_B1,,B1,dodg,,HV,L,,,,,4/20/16,0.0492,,4/24/16,0.0697,,,,,,,,,,,,,5/2/16,,
,F73.3_HV_L_B1,WB,B1,dodg,,HV,L,,,,,4/20/16,0.0449,,4/26/16,0.0752,,,,,,,,,,,,,4/30/16,,
X,F73.4_HV_L_B1,,B1,dodg,,HV,L,,,,,4/20/16,0.0469,,,,,,,,,,,,,,,,4/26/16,,
X,F73.5_HV_L_B1,,B1,dodg,,HV,L,,,,,4/20/16,0.0506,,,,,,,,,,,,,,,,4/26/16,,
X,F73.6_HV_L_B1,,B1,dodg,,HV,L,,,,,4/20/16,0.0486,,,,,,,,,,,,,,,,4/27/16,,
,F73.7_HV_L_B1,GrR,B1,dodg,,HV,L,,,,,4/20/16,0.048,,,,,,,,,,,,,,,,,,
X,F73.8_HV_L_B1,,B1,dodg,,HV,L,,,,,4/20/16,0.0492,,4/26/16,0.089,,,,,,,,,,,,,5/5/16,,
X,F73.9_HV_L_B1,,B1,dodg,,HV,L,,,,,4/20/16,0.0535,,,,,,,,,,,,,,,,4/26/16,,
X,F82.1_LV_L_C1,,C1,dodg,,LV,L,2 dead,,,,4/20/16,0.0302,,4/23/16,0.0467,,,,,,,,,,,,,5/2/16,,
,F82.2_LV_L_C1,WY,C1,dodg,,LV,L,,4/20/16,0.0221,,4/29/16,0.0279,"looks like a 3rd, so shifted left",,,,,,,,,,,,,,,5/4/16,,
,F82.3_LV_L_C1,WB,C1,dodg,M,LV,L,,4/20/16,0.0309,,4/23/16,0.0401,,4/30/16,0.0732,,5/9/16,0.1271,"not adult, shifted left",,,,5/22/16,0.2193,9.78,4.08,,,,
X,F82.4_LV_L_C1,,C1,dodg,,LV,L,,,,,4/20/16,0.0344,,4/22/16,0.0458,,4/29/16,0.0668,,5/30/16,0.1443,,,,,,,5/3/16,,
,F82.5_LV_L_C1,WG,C1,dodg,,LV,L,,,,,4/20/16,0.0283,,4/27/16,0.0303,,5/13/16,0.0529,,,,,,,,,,,,
,F82.6_LV_L_C1,WP,C1,dodg,,LV,L,,4/20/16,0.0359,,4/22/16,0.0342,,5/2/16,0.0569,looks more like a 4th.  Also missing a leg,,,,,,,,,,,,5/4/16,,
X,F75.1_LV_L_C1,WR,C1,dodg,,LV,L,3 dead,4/20/16,0.0399,,4/22/16,0.0498,,4/29/16,0.0914,,5/3/16,0.1134,"not adult, shifted left",,,,,,,,,5/5/16,,
X,F75.2_LV_L_C1,,C1,dodg,,LV,L,,4/20/16,0.0362,,4/22/16,0.0421,,4/30/16,0.0877,"not fifth, shifted left.  Found dead as a newly molted 5th instar",,,,,,,,,,,,5/9/16,,
X,F75.3_LV_L_C1,,C1,dodg,,LV,L,,,,,4/20/16,0.0356,,4/23/16,0.0561,,4/30/16,0.0783,,,,,,,,,,5/6/16,,
X,F75.4_LV_L_C1,,C1,dodg,,LV,L,,,,,4/20/16,0.0348,,4/22/16,0.0416,,4/29/16,0.0605,,,,,,,,,,5/2/16,,
X,F75.5_LV_L_C1,,C1,dodg,,LV,L,,4/20/16,0.0424,,4/22/16,0.0582,,4/28/16,0.0767,,4/30/16,0.076,shifted from 5+ to 5 due to rapid molt,,,,,,,,,5/3/16,,
X,F75.6_LV_L_C1,,C1,dodg,,LV,L,,4/20/16,0.0379,,4/21/16,0.0377,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/29/16,0.1168,,,,,,,,,,,,,5/11/16,,
,F75.7_LV_L_C1,GrR,C1,dodg,F,LV,L,,,,,4/20/16,0.0352,,4/22/16,0.0427,,,,,,,,5/18/16,0.3185,11.5,5.2,"Found, remeasured, and moved on 6/1/2016",,,
,F75.8_LV_L_C1,GrY,C1,dodg,M,LV,L,,4/20/16,0.0373,,4/22/16,0.0357,,4/29/16,0.0818,,5/7/16,0.1272,does not appear to be adult; shifted left,,,,5/19/16,0.2311,9.41,4.28,,,,
X,F75.9_LV_L_C1,,C1,dodg,,LV,L,,,,,4/20/16,0.0321,,4/23/16,0.0468,,4/30/16,0.0891,,,,,,,,,,5/2/16,,
,F75.10_LV_L_C1,GrO,C1,dodg,,LV,L,,4/20/16,0.0373,,4/21/16,0.0364,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,,,,,,,,,,,,,,,,,
,F75.11_LV_L_C1,GrG,C1,dodg,M,LV,L,,4/20/16,0.0364,,4/22/16,0.0395,,4/30/16,0.0848,,5/9/16,0.1519,"not adult, shifted left",,,,5/22/16,0.2031,8.99,4.02,,,,
,F75.1_LV_L_B1,WR,B1,dodg,M,LV,L,,,,,4/21/16,0.0455,,4/23/16,0.0566,,5/9/16,0.1885,,,,,5/22/16,0.2888,9.87,4.66,,,,
X,F75.2_LV_L_B1,WY,B1,dodg,,LV,L,,4/21/16,0.0362,,4/25/16,0.0474,,5/2/16,0.0599,,5/16/16,0.0804,"not adult, shift left; right limb missing",,,,,,,,,5/20/16,,
X,F75.3_LV_L_B1,,B1,dodg,,LV,L,,,,,4/21/16,0.0159,,4/25/16,0.0145,,,,,,,,,,,,,4/28/16,,
,F75.4_LV_L_B1,WO,B1,dodg,F,LV,L,,4/21/16,0.0315,,4/26/16,0.0516,,5/2/16,0.0857,,5/11/16,0.1534,not an adult so shifted to transfer at 2nd instar,,,,5/22/16,0.317,11.82,5.31,,,,
,F75.5_LV_L_B1,WG,B1,dodg,F,LV,L,,,,,4/21/16,0.0379,,4/24/16,0.0503,,5/9/16,0.1569,,,,,5/22/16,0.3639,11.47,5.23,,,,
,F75.6_LV_L_B1,WP,B1,dodg,M,LV,L,,,,,4/21/16,0.0357,,4/23/16,0.0369,,5/2/16,0.056,,5/12/16,0.1942,,5/23/16,0.237,10.86,4.5,,,,
,F75.7_LV_L_B1,GrR,B1,dodg,F,LV,L,,4/21/16,0.0387,,4/23/16,0.0387,,4/29/16,0.0813,,5/2/16,0.0679,not adult so shifted left,5/7/16,0.177,Still doesn't appear to be adult,5/12/16,0.1901,,,not adult,,,"5/24/2016, 0.2937, protonum: 4.97, femur: 11.65"
,F8B.1_LV_L_A1,WR,A1,dodg,,LV,L,,,,,4/21/16,0.0284,,4/27/16,0.0524,,,,,,,,,,,,,4/30/16,,
,F8B.2_LV_L_A1,WY,A1,dodg,,LV,L,,,,,4/21/16,0.0257,,4/26/16,0.0481,,5/4/16,0.0811,,5/13/16,0.1679,,5/25/16,0.2301,10.8,4.52,,,,
X,F8B.3_LV_L_A1,WB,A1,dodg,,LV,L,,,,,4/21/16,0.0298,,4/26/16,0.0419,,5/5/16,0.0891,,5/17/16,0.163,,,,,,,5/22/16,,
,F8B.4_LV_L_A1,WO,A1,dodg,F,LV,L,,,,,4/21/16,0.0267,,4/26/16,0.0379,,5/5/16,0.0927,,5/14/16,0.1407,,5/27/16,0.2348,10.58,4.36,,,,
,F8B.5_LV_L_A1,WG,A1,dodg,F,LV,L,,,,,4/21/16,0.0245,,4/28/16,0.047,,5/7/16,0.0819,,5/17/16,0.1809,,5/31/16,0.3681,11.27,5.61,,,,
,F8B.6_LV_L_A1,WP,A1,dodg,F,LV,L,,,,,4/21/16,0.0289,,4/26/16,0.0429,,,,,5/13/16,0.1619,,5/27/16,0.3674,11.53,5.12,,,,
,F8B.7_LV_L_A1,GrR,A1,dodg,F,LV,L,,4/21/16,0.0274,,4/28/16,0.0384,,5/5/16,0.0846,,5/16/16,0.2241,"not adult, shifted left",,,,5/28/16,0.3824,11.69,4.99,no antennae,,,
,F3.1_LV_L_A1,WR,A1,dodg,M,LV,L,,4/21/16,0.019,,4/26/16,0.0202,,5/3/16,0.0404,,5/11/16,0.0894,,5/23/16,0.1765,"not adult, shift left ",6/3/16,0.2961,10.76,4.6,,,,
,F3.2_LV_L_A1,WY,A1,dodg,M,LV,L,,,,,4/21/16,0.0251,,4/27/16,0.0532,,5/4/16,0.0719,,5/13/16,0.1876,,5/25/16,0.2371,10.9,4.7,,,,
,F3.3_LV_L_A1,WB,A1,dodg,M,LV,L,,4/21/16,0.0263,,4/27/16,0.0512,,5/5/16,0.0764,,5/16/16,0.1219,"not adult, shifted left",,,,5/30/16,0.2337,10.32,4.64,,,,
X,F3.4_LV_L_A1,WO,A1,dodg,,LV,L,,,,,4/21/16,0.0297,,4/26/16,0.046,,5/3/16,0.0799,,5/12/16,0.167,,,,,,,5/27/16,,
X,F3.5_LV_L_A1,,A1,dodg,,LV,L,,,,,4/21/16,0.0175,,4/23/16,0.0303,missing leg,4/30/16,0.0344,,,,,,,,,,5/9/16,,
X,F3.6_LV_L_A1,WP,A1,dodg,,LV,L,,,,,4/21/16,0.0152,,4/29/16,0.036,,5/9/16,0.1168,,,,,,,,,,5/18/16,,
,F18.1_LV_L_B1,WR,B1,dodg,M,LV,L,,,,,4/21/16,0.0194,,4/27/16,0.0281,,5/6/16,0.0757,,5/14/16,0.1204,,5/27/16,0.2243,9.72,4.09,,,,
,F18.2_LV_L_B1,WY,B1,dodg,M,LV,L,,4/21/16,0.013,,4/22/16,0.0206,,4/28/16,0.0271,,5/6/16,0.0675,shifted left,5/14/16,0.107,,5/27/16,0.2007,9,3.56,,,,
,F18.3_LV_L_B1,WB,B1,dodg,M,LV,L,,,,,4/21/16,0.0214,,4/27/16,0.0424,,5/4/16,0.0632,,5/13/16,0.1736,,5/25/16,0.2272,10.22,4.4,,,,
X,F18.4_LV_L_B1,,B1,dodg,,LV,L,,,,,4/21/16,0.0195,,4/27/16,0.0302,,5/6/16,0.0724,,,,,,,,,,5/9/16,,
X,F18.5_LV_L_B1,WG,B1,dodg,,LV,L,,,,,4/21/16,0.014,,4/28/16,0.0333,,5/6/16,0.0579,,,,,,,,,,5/17/16,,
,F18.6_LV_L_B1,WP,B1,dodg,M,LV,L,,4/21/16,0.0195,,4/27/16,0.0283,,5/7/16,0.0782,,5/16/16,0.1185,"not adult, shifted left",,,,5/27/16,0.1998,9.49,4.1,,,,
,F18.7_LV_L_B1,GrR,B1,dodg,,LV,L,,4/21/16,0.0171,,4/27/16,0.0287,,5/5/16,0.0744,,5/13/16,0.1519,"probably not adult, shifted back ",,,,5/26/16,0.2679,10.13,4.59,,,,
,F45A.1_LV_L_A1,WR,A1,dodg,,LV,L,0 dead,,,,4/21/16,0.0102,,,,,,,,,,,,,,,,4/23/16,,
,F45A.2_LV_L_A1,WY,A1,dodg,F,LV,L,,4/21/16,0.03,,4/25/16,0.0418,,4/27/16,0.0437,,5/5/16,0.0787,,5/16/16,0.2508,"not adult, shift left, must have initially transitioned as 1st instar",5/27/16,0.3315,11.13,4.68,,,,
X,F45A.3_LV_L_A1,,A1,dodg,,LV,L,,,,,4/21/16,0.0131,,2/29/16,0.0353,,,,,,,,,,,,,5/9/16,,
,F45A.4_LV_L_A1,WO,A1,dodg,F,LV,L,,,,,4/21/16,0.0147,,4/22/16,0.028,,4/28/16,0.0359,,5/6/16,0.1126,,5/25/16,0.3326,12.46,5.29,,,,
,F23.1_LV_L_A1,WR,A1,dodg,M,LV,L,0 dead,,,,4/21/16,0.0276,,4/26/16,0.0387,,5/4/16,0.07,,5/13/16,0.2406,,5/25/16,0.3594,11.9,5.34,,,,
X,F23.2_LV_L_A1,,A1,dodg,,LV,L,,,,,4/21/16,0.0252,,4/29/16,0.0396,,5/7/16,0.0694,left hindlimb missing,,,,,,,,,5/9/16,,
,F23.3_LV_L_A1,WB,A1,dodg,,LV,L,,,,,4/21/16,0.0076,,,,,,,,,,,,,,,,4/22/16,,
,F23.4_LV_L_A1,WO,A1,dodg,M,LV,L,,4/21/16,0.0168,,4/25/16,0.0186,,5/2/16,0.0402,"not a 5th, so shifted left",5/9/16,0.0926,,5/18/16,0.1399,,5/31/16,0.2289,8.78,4.36,,,,
X,F23.5_LV_L_A1,WG,A1,dodg,,LV,L,,,,,4/21/16,0.0331,,4/25/13,0.0485,,5/3/16,0.0633,,5/14/16,0.1466,,,,,,,5/25/16,,
,F01B.1_LV_L_C1,WR,C1,dodg,F,LV,L,2 dead,,,,4/21/16,0.0322,,4/22/16,0.0313,,5/9/16,0.1579,,,,,5/22/16,0.2618,10.88,4.82,,,,
,F01B.2_LV_L_C1,WB,C1,dodg,M,LV,L,,,,,4/21/16,0.0349,,4/22/16,0.0491,,4/28/16,0.0671,,5/6/16,0.1119,,5/17/16,0.1862,10.05,4.2,,,,
X,F01B.3_LV_L_C1,,C1,dodg,,LV,L,,,,,4/21/16,0.0275,,,,,,,,,,,,,,,,4/25/16,,
X,F01B.4_LV_L_C1,,C1,dodg,,LV,L,,,,,4/21/16,0.0297,,4/23/16,0.0291,,5/2/16,0.0556,,,,,,,,,,5/9/16,,
,F01B.5_LV_L_C1,WG,C1,dodg,F,LV,L,,,,,4/21/16,0.0418,,4/27/16,0.0626,,5/7/16,0.1562,,,,,5/19/16,0.2318,9.94,4.36,,,,
,F01B.6_LV_L_C1,WY,C1,dodg,F,LV,L,,4/21/16,0.0328,,4/22/16,0.0308,,4/30/16,0.0861,,5/9/16,0.158,"not adult, shifted left",,,,5/23/16,0.254,10.51,4.58,,,,
X,F01B.7_LV_L_C1,GrR,C1,dodg,,LV,L,,,,,4/21/16,0.0296,,5/3/16,0.053,,5/13/16,0.1221,,,,,,,,,,6/3/16,,
,F01B.8_LV_L_C1,GrY,C1,dodg,,LV,L,,,,,4/21/16,0.0179,,4/25/16,0.0378,,,,,,,,,,,,,4/23/16,,
,FX1.1_LV_L_C1,WR,C1,dodg,M,LV,L,0 dead,4/21/16,0.0314,,4/22/16,0.0453,,4/29/16,0.0714,,5/9/16,0.1081,"not adult, shifted left",,,,5/22/16,0.1716,8.77,4.22,,,,
,FX1.2_LV_L_C1,WY,C1,dodg,M,LV,L,,4/21/16,0.0314,,4/22/16,0.0417,,4/30/16,0.0914,,5/9/16,0.1591,"not adult, shifted left",,,,5/23/16,0.2302,9.93,4.15,,,,
X,FX1.3_LV_L_C1,,C1,dodg,,LV,L,,,,,4/21/16,0.0311,,4/23/16,0.0324,,,,,,,,,,,,,4/25/16,,
X,FX1.4_LV_L_C1,,C1,dodg,,LV,L,,,,,4/21/16,0.0309,,4/24/16,0.0339,,,,,,,,,,,,,4/27/16,,
X,FX1.5_LV_L_C1,,C1,dodg,,LV,L,,,,,4/21/16,0.0286,,4/23/16,0.0293,,,,,,,,,,,,,4/25/16,,
X,FX1.6_LV_L_C1,,C1,dodg,,LV,L,,,,,4/21/16,0.0317,,4/22/16,0.0278,Missing leg,4/30/16,0.0841,,,,,,,,,,5/9/16,,
,FX1.7_LV_L_C1,WB,C1,dodg,M,LV,L,,,,,4/21/16,0.0323,,4/23/16,0.0318,missing leg,5/2/16,0.0736,,5/13/16,0.1708,,5/14/16,0.1699,9.64,3.24,found as adult with no molt; missing left leg,,,
,FX1.8_LV_L_C1,WO,C1,dodg,M,LV,L,,4/21/16,0.0391,,4/22/16,0.0573,,4/29/16,0.0893,,5/7/16,0.1302,does not appear to be adult; shifted left,,,,5/19/16,0.2669,10.16,4.4,,,,
,FX1.9_LV_L_C1,WG,C1,dodg,F,LV,L,,4/21/16,0.0362,,4/23/16,0.0503,,5/2/16,0.1051,,5/9/16,0.2203,"5th, not adult, moved left",,,,5/20/16,0.2721,11.59,5.25,,,,
X,FX1.10_LV_L_C1,WP,C1,dodg,,LV,L,,4/21/16,0.0358,,4/23/16,0.0545,,4/30/16,0.0845,,5/9/16,0.1306,"not adult, shifted left",5/20/16,0.1545,,,,,,,6/1/16,,
X,FX1.11_LV_L_C1,,C1,dodg,,LV,L,,,,,4/21/16,0.0349,,4/22/16,0.0435,,4/29/16,0.0932,,,,,,,,,,5/9/16,,
,FX1.12_LV_L_C1,GrR,C1,dodg,M,LV,L,,4/21/16,0.0349,,4/22/16,0.034,,4/30/16,0.0962,,5/7/16,0.1212,does not appear to be adult; shifted left,,,,5/19/16,0.252,10.08,4.82,,,,
X,FX1.13_LV_L_C1,,C1,dodg,,LV,L,,,,,4/21/16,0.0345,,,,,,,,,,,,,,,,4/26/16,,
X,FX1.14_LV_L_C1,,C1,dodg,,LV,L,,,,,4/21/16,0.0246,,,,,,,,,,,,,,,,4/26/16,,
,F19.1_LV_L_A1,WR,A1,dodg,M,LV,L,2 dead,,,,4/21/16,0.0138,,4/30/16,0.037,,5/9/16,0.0786,,5/19/16,0.1438,,5/31/16,0.2348,9.34,4.15,,,,
X,F27.1_LV_L_A1,WY,A1,dodg,,LV,L,1 dead,4/21/16,0.0276,,4/27/16,0.0498,,5/7/16,0.1112,,5/16/16,0.1493,"not adult, shifted left; Left limb missing",,,,,,,,,5/18/16,,
X,F27.2_LV_L_A1,WB,A1,dodg,,LV,L,,,,,4/21/16,0.0261,,4/27/16,0.044,,5/5/16,0.0601,,,,,,,,,,5/17/16,,
,F27.3_LV_L_A1,WO,A1,dodg,M,LV,L,,,,,4/21/16,0.0266,,4/25/16,0.0409,,5/3/16,0.087,,5/12/16,0.1499,,5/25/16,0.2191,9.1,4.15,,,,
,F27.4_LV_L_A1,WG,A1,dodg,M,LV,L,,,,,4/21/16,0.0236,,4/27/16,0.0458,,5/5/16,0.0811,,5/14/16,0.147,,5/27/16,0.2047,9.91,4.08,,,,
X,F27.5_LV_L_A1,,A1,dodg,,LV,L,,,,,4/21/16,0.0235,,4/27/16,0.0349,,,,,,,,,,,,,5/7/16,,
,F27.6_LV_L_A1,GrR,A1,dodg,F,LV,L,,4/21/16,0.0168,,4/22/16,0.0165,,4/30/16,0.0442,,5/9/16,0.1068,"not adult, shifted left",5/17/16,0.1804,,5/30/16,0.2983,11.09,4.66,,,,
X,F25B.1_HV_S_A1,,A1,dodg,,HV,S,7 dead,,,,4/21/16,0.0166,,4/28/16,0.0523,,,,,,,,,,,,,5/3/16,,
,F76.1_HV_S_C1,WR,C1,dodg,M,HV,S,0 dead,,,,4/21/16,0.0274,,4/28/16,0.0787,,5/4/16,0.1426,,,,,5/13/16,0.2259,11.01,3.89,,,,
,F76.2_HV_S_C1,WY,C1,dodg,M,HV,S,,,,,4/21/16,0.0388,,4/26/16,0.0523,,5/3/16,0.1251,,,,,5/14/16,0.1974,9.47,4.05,,,,
,F76.3_HV_S_C1,WB,C1,dodg,F,HV,S,,4/21/16,0.03,,4/22/16,0.0432,,4/24/16,0.0494,,4/28/16,0.0933,,5/4/16,0.1231,"does not appear to be an adult, probably transferred as first instar",5/16/16,0.3025,11.19,4.95,,,,
X,F24.1_HV_S_A1,WR,A1,dodg,,HV,S,1 dead,4/21/16,0.0301,,4/26/16,0.0511,,5/2/16,0.0958,,5/9/16,0.1826,"not adult, shifted left",,,,,,,,,5/16/16,,
X,F45B.1_HV_S_A1,WR,A1,dodg,,HV,S,0 dead,,,,4/21/16,0.0133,,4/29/16,0.0383,,5/13/16,0.0925,missing leg,5/20/16,0.0852,missing left leg,,,,,,5/24/16,,
X,F45B.2_HV_S_A1,,A1,dodg,,HV,S,,,,,4/21/16,0.0385,,4/23/16,0.0694,,4/30/16,0.0718,,,,,,,,,,5/2/16,,
,F45B.3_HV_S_A1,WB,A1,dodg,F,HV,S,,4/21/16,0.0397,,4/23/16,0.0421,,4/30/16,0.117,,5/9/16,0.29,"not adult, shifted left",,,,5/19/16,0.3188,11.58,5.63,"left leg missing, measured right leg ",,,
X,F45B.4_HV_S_A1,,A1,dodg,,HV,S,,,,,4/21/16,0.0356,,4/23/16,0.0527,,,,,,,,,,,,,4/28/16,,
,F45B.5_HV_S_A1,WG,A1,dodg,M,HV,S,,,,,4/21/16,0.0322,,4/23/16,0.0506,,4/30/16,0.1,,5/7/16,0.1724,,5/17/16,0.252,10.92,4.43,right leg fell off during marking ,,,
X,F45B.6_HV_S_A1,WP,A1,dodg,F,HV,S,,,,,4/21/16,0.0359,,4/23/16,0.0408,,5/7/16,0.1746,,,,,5/19/16,0.3427,11.48,5.06,,5/23/16,,
X,F45B.7_HV_S_A1,,A1,dodg,,HV,S,,4/21/16,0.0368,,4/22/16,0.0556,,4/28/16,0.0945,,5/4/16,0.1305,"not and adult, so shifted left",,,,,,,,,5/9/16,,
X,F45B.8_HV_S_A1,GrY,A1,dodg,,HV,S,,,,,4/21/16,0.0377,,4/23/16,0.0367,,5/6/16,0.0452,,,,,,,,,,5/18/16,,
X,F45B.9_HV_S_A1,,A1,dodg,,HV,S,,,,,4/21/16,0.0342,,4/23/16,0.059,,,,,,,,,,,,,5/2/16,,
,F45B.10_HV_S_A1,GrO,A1,dodg,,HV,S,,,,,4/21/16,0.0322,,4/25/16,0.0398,,,,,,,,,,,,,,,
,F45B.11_HV_S_A1,GrG,A1,dodg,,HV,S,,,,,4/21/16,0.0251,,4/26/16,0.0459,,5/3/16,0.0918,,,,,,,,,,5/12/16,,
,F45B.12_HV_S_A1,GrP,A1,dodg,M,HV,S,,4/21/16,0.0235,,4/25/16,0.0315,,5/2/16,0.0843,,5/9/16,0.1198,"not adult, shifted left",,,,5/22/16,0.2464,10.92,4.36,,5/28/16,,
,F45B.13_HV_S_A1,RY,A1,dodg,,HV,S,,,,,4/21/16,0.0323,,4/22/16,0.0367,,4/28/16,0.0809,,5/6/16,0.1487,,,,,,,5/11/16,,
,F4.1_HV_S_A1,WR,A1,dodg,,HV,S,2 dead,,,,4/21/16,0.0355,,4/23/16,0.0552,,4/29/16,0.0698,,5/6/16,0.1297,,,,,,,5/11/16,,
X,F4.2_HV_S_A1,WY,A1,dodg,,HV,S,,4/21/16,0.0377,,4/22/16,0.0537,,4/28/16,0.0875,,5/7/16,0.1737,"doesn't look adult, so shifted left",,,,,,,,,5/20/16,,
,F4.3_HV_S_A1,WB,A1,dodg,M,HV,S,,,,,4/21/16,0.037,,4/22/16,0.0387,,4/29/16,0.092,,5/6/16,0.1338,,5/17/16,0.2467,9.93,4.69,,,,
,F4.4_HV_S_A1,WO,A1,dodg,F,HV,S,,4/21/16,0.0293,,4/26/16,0.0521,,5/2/16,0.123,,5/9/16,0.2281,"not adult, shifted left",,,,5/19/16,0.4018,13.22,5.98,,,,
,F4.5_HV_S_A1,WG,A1,dodg,F,HV,S,,4/21/16,0.0375,,4/24/16,0.0502,,5/2/16,0.1999,,5/9/16,0.263,"not adult, shifted left",,,,5/20/16,0.4373,14.4,6.1,,,,
X,F4.6_HV_S_A1,,A1,dodg,,HV,S,,,,,4/21/16,0.0415,,4/23/16,0.0446,,5/2/16,0.2145,,,,,,,,,,5/9/16,,
,F4.7_HV_S_A1,GrR,A1,dodg,M,HV,S,,4/21/16,0.0385,,4/23/16,0.0491,,4/30/16,0.1182,,5/7/16,0.1678,"not adult, shifted left",,,,5/17/16,0.2534,10.15,4.8,,,,
,F28.1_HV_S_A1,WR,A1,dodg,,HV,S,1 dead,4/21/16,0.0157,,4/27/16,0.0182,,5/7/16,0.0339,"doesn't look like a 5th, so shifted left",5/16/16,0.0626,,5/30/16,0.1335,,,,,,,,,
,F28.2_HV_S_A1,WY,A1,dodg,M,HV,S,,,,,4/21/16,0.0393,,4/23/16,0.0401,,4/30/16,0.1018,,5/7/16,0.1277,,5/18/16,0.2306,10.66,4.67,,,,
,F28.3_HV_S_A1,WB,A1,dodg,,HV,S,,,,,4/21/16,0.0371,,4/23/16,0.0396,,4/30/16,0.1037,,,,,,,,,,5/5/16,,
,F28.4_HV_S_A1,WO,A1,dodg,M,HV,S,,4/21/16,0.0229,,4/26/16,0.0351,,5/3/16,0.0954,,5/9/16,0.1488,"not adult, shifted left",,,,5/19/16,0.2838,11.01,4.74,,,,
,F9.1_HV_S_A1,WR,A1,dodg,F,HV,S,2 dead,4/21/16,0.0338,,4/24/16,0.0446,,5/2/16,0.1107,,5/9/16,0.1496,"Right hindlimb missing.  not adult, shifted left",,,,5/22/16,0.3203,12.26,5.34,,,,
X,F1.1_HV_S_A1,WR,A1,dodg,,HV,S,0 dead,,,,4/21/16,0.0208,,4/28/16,0.0558,,5/3/16,0.0733,,5/10/16,0.1708,,,,,,,5/22/16,,
X,F1.2_HV_S_A1,WY,A1,dodg,F,HV,S,,4/21/16,0.0161,,4/29/16,0.0618,"looks like a 3rd, so shifted left",5/4/16,0.1068,,5/11/16,0.2505,,,,,5/22/16,0.4052,11.97,5.53,"missing left leg, measured right",5/25/16,,
,F61.1_HV_S_B1,WR,B1,dodg,,HV,S,0 dead,4/21/16,0.0129,,4/23/16,0.019,,4/29/16,0.0378,"doesn't look like a 5th, so shifted left",,,,,,,,,,,,5/4/16,,
,F48.1_HV_S_A1,WR,A1,dodg,M,HV,S,2 dead,,,,4/21/16,0.0334,,4/22/16,0.0376,,4/29/16,0.0807,,5/6/16,0.1435,,5/16/16,0.2103,10.9,4.53,,,,
,F48.2_HV_S_A1,WY,A1,dodg,F,HV,S,,4/21/16,0.0285,,4/26/16,0.0504,,5/2/16,0.0871,,5/9/16,0.1681,"not adult, shifted left",,,,5/19/16,0.3584,12.03,5.54,,,,
X,F48.3_HV_S_A1,WB,A1,dodg,F,HV,S,,,,,4/21/16,0.0344,,4/22/16,0.033,,4/28/16,0.0666,,5/5/16,0.1735,,5/14/16,0.2354,10.72,4.3,,5/16/16,,
,F48.4_HV_S_A1,WO,A1,dodg,F,HV,S,,,,,4/21/16,0.0278,,4/25/16,0.0431,,5/9/16,0.2215,,,,,5/19/16,0.3918,12.36,5.62,,,,
